label,H,n_dates,n_indep,avg_names,ic,ic_med,ic_sd,icir,ic_pos,t_ic_nw,t_ic_non,top_ann,bot_ann,ls_ann,sharpe_top,sharpe_ls,t_top,t_ls,mono,hit_ex,dd_top,dd_ls,skew_ls,dsd_ls,DSR,sr_star,N_trials,turnover,to_ann,net_base,net_conservative,net_stressed,nsharpe_base
b_residmom,2,1910,955,543.760209,0.013867,0.016463,0.085238,0.162686,0.580628,5.029476,5.026118,0.102979,-0.092882,0.195861,1.49786,1.601812,4.126575,4.397991,0.084855,0.470479,-0.095238,-0.166165,-1.302773,0.094306,0.810045,0.110624,19.0,0.167728,21.133726,-0.049876,-0.176679,-0.388016,-0.674534
b_residmom,3,1909,637,543.443164,0.0161,0.017338,0.087069,0.184915,0.580932,4.666899,4.662978,0.102039,-0.096697,0.198736,1.480147,1.647668,4.078666,4.527759,0.097297,0.471486,-0.095811,-0.17403,-0.677939,0.08764,0.886352,0.127697,19.0,0.203357,17.081995,-0.022288,-0.12478,-0.2956,-0.297497
b_residmom,5,1907,382,542.837965,0.01897,0.02051,0.088977,0.213195,0.58731,4.166431,4.159427,0.10603,-0.101081,0.207111,1.561244,1.748488,4.302497,4.800419,0.116855,0.472595,-0.087224,-0.160018,-0.427445,0.081001,0.941489,0.158697,19.0,0.259292,13.068341,0.015045,-0.063365,-0.194049,0.20086
b_residmom,10,1902,191,541.399579,0.023986,0.028046,0.090261,0.265744,0.611987,3.669109,3.672847,0.097371,-0.099644,0.197015,1.412873,1.706372,3.89017,4.661971,0.144945,0.474863,-0.084723,-0.156429,-0.34381,0.078109,0.952596,0.20459,19.0,0.354426,8.931542,0.039881,-0.013708,-0.103023,0.531669
b_residmom,21,1891,91,538.638815,0.030587,0.033205,0.090298,0.338738,0.643046,3.221201,3.200763,0.079278,-0.088196,0.167474,1.146938,1.389219,3.160386,3.812952,0.184956,0.477211,-0.07725,-0.144524,-0.276094,0.076764,0.891043,0.256297,19.0,0.487473,5.849677,0.046358,0.01126,-0.047237,0.587481
b_residmom,42,1870,45,533.571658,0.037428,0.042735,0.088087,0.424895,0.691444,2.84659,2.817818,0.072557,-0.08037,0.152928,1.035051,1.246145,2.840309,3.400011,0.23952,0.482149,-0.06331,-0.156849,-0.485388,0.08596,0.777021,0.369472,19.0,0.595061,3.570366,0.057771,0.036349,0.000646,0.699306
b_residmom,63,1849,30,528.951325,0.042302,0.057227,0.090746,0.466155,0.722012,2.54054,2.501583,0.07299,-0.068721,0.141711,1.003084,1.100813,2.694558,2.945641,0.277932,0.486313,-0.069873,-0.191453,-0.661372,0.095052,0.679117,0.439828,19.0,0.680915,2.723659,0.065005,0.048663,0.021426,0.800105
b_residmom,84,1828,22,525.531182,0.046579,0.058007,0.097447,0.477994,0.729759,2.247713,2.265112,0.071177,-0.06019,0.131368,0.965224,0.963921,2.483323,2.480999,0.285598,0.48373,-0.085844,-0.208998,-0.756733,0.101431,0.563408,0.510885,19.0,0.737434,2.212302,0.065808,0.052534,0.030411,0.837163
b_residmom,126,1786,15,518.31355,0.048285,0.058365,0.099149,0.486997,0.744121,1.855968,1.942019,0.067984,-0.044422,0.112406,0.935516,0.818791,2.357809,2.108041,0.275822,0.473416,-0.058727,-0.165998,-0.652427,0.097103,0.421564,0.648318,19.0,0.835531,1.671062,0.065713,0.055687,0.038976,0.794977
b_residmom,189,1723,10,507.607661,0.042568,0.047422,0.099622,0.4273,0.690075,1.314798,1.491513,0.059262,-0.034486,0.093748,0.71333,0.600571,1.77634,1.527106,0.250434,0.456683,-0.063059,-0.15225,-0.352886,0.083335,0.242153,0.80379,18.0,0.903935,1.205247,0.051797,0.044566,0.032513,0.569506
b_strev,1,1911,1911,544.130822,0.016056,0.011732,0.094371,0.170133,0.555207,7.439317,7.43737,0.064716,-0.103106,0.167823,0.772749,1.142444,2.128542,3.146869,0.009771,0.454561,-0.15373,-0.189515,0.812734,0.088825,0.328006,0.081914,19.0,0.273757,68.986649,-0.450113,-0.864033,-1.553899,-4.644103
b_strev,2,1910,955,543.810471,0.017652,0.012483,0.095584,0.184671,0.557592,5.709144,5.705621,0.062484,-0.098987,0.161471,0.72207,1.062399,1.992552,2.926579,0.022967,0.46312,-0.117969,-0.175292,0.691641,0.093932,0.30673,0.110624,19.0,0.378289,47.664387,-0.28219,-0.568177,-1.04482,-2.801471
b_strev,3,1909,637,543.493452,0.018018,0.016388,0.095169,0.189322,0.573075,4.778131,4.77965,0.047235,-0.07762,0.124855,0.552669,0.833592,1.523734,2.296645,0.020823,0.464294,-0.127712,-0.181862,0.632632,0.092576,0.171998,0.127697,19.0,0.451457,37.922393,-0.22906,-0.456594,-0.835818,-2.310466
b_strev,5,1907,382,542.888306,0.018597,0.015425,0.092444,0.201174,0.568432,3.931496,3.92631,0.027653,-0.057263,0.084916,0.339285,0.599594,0.934038,1.651431,0.026527,0.464694,-0.165102,-0.179878,0.576274,0.085163,0.069892,0.158697,19.0,0.562064,28.328036,-0.183422,-0.35339,-0.63667,-1.946399
b_strev,10,1902,191,541.450053,0.018067,0.017075,0.090671,0.199262,0.574658,2.751187,2.742667,0.004369,-0.030108,0.034477,0.056417,0.255088,0.155268,0.69861,0.026352,0.457192,-0.255426,-0.328583,0.535411,0.078303,0.016157,0.20459,19.0,0.737835,18.593444,-0.131745,-0.243306,-0.42924,-1.438639
b_strev,21,1891,91,538.689582,0.016464,0.006922,0.087041,0.189152,0.52935,1.798727,1.781152,0.001575,-0.02399,0.025566,0.01388,0.186972,0.053532,0.527284,0.015624,0.45281,-0.237953,-0.323821,0.642269,0.06971,0.026192,0.256297,19.0,0.899395,10.792741,-0.077657,-0.142413,-0.25034,-0.877007
b_strev,42,1870,45,533.622995,0.006762,0.005636,0.081865,0.082602,0.524064,0.553392,0.54375,-0.013784,-0.00114,-0.012644,-0.211816,-0.109564,-0.529843,-0.292262,-0.025941,0.447318,-0.245401,-0.34121,0.343002,0.066766,0.003534,0.369472,19.0,0.907147,5.442882,-0.054907,-0.087564,-0.141993,-0.704778
b_strev,63,1849,30,529.003245,-0.002188,0.00019,0.087883,-0.024896,0.501352,-0.135685,-0.146268,-0.022656,-0.007988,-0.014667,-0.295513,-0.120449,-0.786355,-0.301671,-0.033063,0.430013,-0.279414,-0.356438,0.258244,0.079979,0.004369,0.439828,19.0,0.909137,3.636549,-0.051121,-0.072941,-0.109306,-0.604042
b_strev,84,1828,22,525.576039,-0.004591,-0.005788,0.085183,-0.053899,0.47593,-0.253453,-0.259117,-0.027676,-0.011994,-0.015682,-0.361058,-0.127303,-0.933329,-0.329886,-0.038989,0.42304,-0.298819,-0.362874,-0.003214,0.077952,0.004544,0.510885,19.0,0.919306,2.757917,-0.04003,-0.056577,-0.084156,-0.475003
