cand,fset,h,how,filt,gate,univ,topk,topk_t,ann,bench,excess,ir,sharpe,maxdd,cost,cash,hold,yr_pos,y2020,y2021,y2022,y2023,y2024
surv10,surv10,21,equal,none,ma200,750,0.003995791816280908,1.4108054356535726,0.18876763569063404,0.29716493118767007,-0.10839729549703603,-0.6773572023551055,0.9255512946426734,-0.29268743536212494,0.05253360424938268,0.11914893617021279,20.0,0.2,-0.2083206075990578,-0.08461631408895309,-0.02524218377691767,-0.15931985220926947,0.021052069016251895
surv10,surv10,21,equal,none,vol_calm,750,0.003995791816280908,1.4108054356535726,0.2188705548402905,0.29716493118767007,-0.07829437634737957,-0.49967672355352805,0.9723293206826006,-0.3710826124745258,0.053519199342052515,0.07659574468085116,20.0,0.4,-0.104602093681738,-0.09382786328958215,0.001839494049826973,-0.17404995013516478,0.043672064729726845
surv10,surv10,21,equal,above50dma,always,500,0.003995791816280908,1.4108054356535726,0.289242766354753,0.29716493118767007,-0.007922164832917078,-0.05826325997623493,1.272801385018339,-0.36400167700629016,0.04546686469187711,0.02212765957446819,30.0,0.4,-0.04577701036556858,-0.09865037003482413,0.13232947378193405,-0.06355805833665873,0.019404506123252174
surv10,surv10,21,equal,above50dma,ma200,500,0.003995791816280908,1.4108054356535726,0.23413626220586292,0.29716493118767007,-0.06302866898180715,-0.3975035692281421,1.1561546659794382,-0.3060354596980889,0.04313638313410173,0.11234042553191492,30.0,0.2,-0.1328108769584937,-0.09865037003482346,-0.03022180420749032,-0.04731980501160682,0.019404506123251286
surv10,surv10,21,equal,above50dma,vol_calm,500,0.003995791816280908,1.4108054356535726,0.28694652675934385,0.29716493118767007,-0.010218404428326222,-0.07387405915527766,1.27612202372983,-0.3630681644708733,0.044114345332112816,0.08000000000000008,30.0,0.4,-0.0938052035237803,-0.08227256475996192,0.06471468571377081,-0.06373281817139786,0.10700733681444152
surv10,surv10,21,equal,above50dma,always,750,0.003995791816280908,1.4108054356535726,0.2854645389436101,0.29716493118767007,-0.011700392244059943,-0.08467474596326328,1.2646621101831776,-0.36400167700629016,0.048872542238674314,0.027234042553191593,30.0,0.2,-0.04577701036556858,-0.11286239182728697,0.14488841084153514,-0.04573518543477917,-0.008789251280557742
surv10,surv10,21,equal,above50dma,ma200,750,0.003995791816280908,1.4108054356535726,0.2181006221038777,0.29716493118767007,-0.07906430908379236,-0.49887211295405337,1.0956882389468554,-0.3060354596980889,0.04609025601159583,0.12000000000000001,30.0,0.0,-0.1328108769584937,-0.11286239182728663,-0.019465762256155705,-0.07448652082142171,-0.00878925128055763
surv10,surv10,21,equal,above50dma,vol_calm,750,0.003995791816280908,1.4108054356535726,0.28312182158368215,0.29716493118767007,-0.014043109603987913,-0.09611157805028611,1.261483406948924,-0.3630681644708733,0.04636159440313711,0.08680851063829795,30.0,0.4,-0.0938052035237803,-0.09663349571425162,0.05614457287890273,-0.041789183036015976,0.09205924561259393
surv10,surv10,21,equal,trend_abs,always,500,0.003995791816280908,1.4108054356535726,0.289242766354753,0.29716493118767007,-0.007922164832917078,-0.05826325997623493,1.272801385018339,-0.36400167700629016,0.04546686469187711,0.02212765957446819,30.0,0.4,-0.04577701036556858,-0.09865037003482413,0.13232947378193405,-0.06355805833665873,0.019404506123252174
surv10,surv10,21,equal,trend_abs,ma200,500,0.003995791816280908,1.4108054356535726,0.23413626220586292,0.29716493118767007,-0.06302866898180715,-0.3975035692281421,1.1561546659794382,-0.3060354596980889,0.04313638313410173,0.11234042553191492,30.0,0.2,-0.1328108769584937,-0.09865037003482346,-0.03022180420749032,-0.04731980501160682,0.019404506123251286
surv10,surv10,21,equal,trend_abs,vol_calm,500,0.003995791816280908,1.4108054356535726,0.28694652675934385,0.29716493118767007,-0.010218404428326222,-0.07387405915527766,1.27612202372983,-0.3630681644708733,0.044114345332112816,0.08000000000000008,30.0,0.4,-0.0938052035237803,-0.08227256475996192,0.06471468571377081,-0.06373281817139786,0.10700733681444152
surv10,surv10,21,equal,trend_abs,always,750,0.003995791816280908,1.4108054356535726,0.2854645389436101,0.29716493118767007,-0.011700392244059943,-0.08467474596326328,1.2646621101831776,-0.36400167700629016,0.048872542238674314,0.027234042553191593,30.0,0.2,-0.04577701036556858,-0.11286239182728697,0.14488841084153514,-0.04573518543477917,-0.008789251280557742
surv10,surv10,21,equal,trend_abs,ma200,750,0.003995791816280908,1.4108054356535726,0.2181006221038777,0.29716493118767007,-0.07906430908379236,-0.49887211295405337,1.0956882389468554,-0.3060354596980889,0.04609025601159583,0.12000000000000001,30.0,0.0,-0.1328108769584937,-0.11286239182728663,-0.019465762256155705,-0.07448652082142171,-0.00878925128055763
surv10,surv10,21,equal,trend_abs,vol_calm,750,0.003995791816280908,1.4108054356535726,0.28312182158368215,0.29716493118767007,-0.014043109603987913,-0.09611157805028611,1.261483406948924,-0.3630681644708733,0.04636159440313711,0.08680851063829795,30.0,0.4,-0.0938052035237803,-0.09663349571425162,0.05614457287890273,-0.041789183036015976,0.09205924561259393
surv10,surv10,21,ridge,none,always,500,-0.004945523114330561,-1.696512613086679,0.22454243164627496,0.29716493118767007,-0.0726224995413951,-0.5009889213436076,0.9924315108836155,-0.4005836940316365,0.028901142232261923,1.1102230246251565e-16,40.0,0.2,-0.19554374325116297,-0.012284822832682396,-0.03932727489777765,-0.07276154510987864,0.025135357858656615
surv10,surv10,21,ridge,none,ma200,500,-0.004945523114330561,-1.696512613086679,0.15296866711714197,0.29716493118767007,-0.1441962640705281,-0.8936511702876427,0.7705670236609735,-0.3334339313020468,0.026158797045176374,0.09361702127659577,40.0,0.4,-0.35624731833155265,0.011543707358833144,-0.12152561126675454,-0.09875547850321276,0.02585521050140005
