ic,ic_t,n_dates,topk_excess,topk_t,ann,bench_ann,excess_ann,ir,sharpe,maxdd,cost_drag,cash,n_per,yr_pos,yr_min,yr_med,n_years,h,fset,nf,method,univ
0.04638768128151326,6.61161633693047,191,0.00033851033405776266,0.2315389442871342,0.11171687751343717,0.3319732700901581,-0.22025639257672092,-1.3917547975893634,0.5218055360682958,-0.2361209334848644,0.1912866875643582,0.04319371727748691,191,0.0,-0.2879813826229516,-0.1615721060952664,5,5,kept_h,26,ridge_20.0,500
0.047276944585324436,6.8724734375684,191,0.00027175602522625035,0.18917587588574764,0.12291271621425892,0.3319732700901581,-0.20906055387589917,-1.3481243373545138,0.5882135980052118,-0.2384183907908568,0.19800153917741717,0.07526178010471204,191,0.0,-0.3041822947981766,-0.0980610394365955,5,5,kept_h,26,ridge_20.0,750
0.037385969070303546,3.7090116431123694,191,0.0004887042982511086,0.5283055747902682,0.14341763735624857,0.3319732700901581,-0.18855563273390952,-1.3107468094771237,0.8058809886978501,-0.22657849286873255,0.1101496173875171,0.0058900523560209425,191,0.0,-0.16053654711589904,-0.15646223022837424,5,5,kept_h,26,ridge_200.0,100
0.043194035046348014,5.250919127879948,191,0.0011135738407607868,1.068009843665175,0.12479779085114329,0.3319732700901581,-0.2071754792390148,-1.532044724474736,0.6043631892359705,-0.26888001716779375,0.14049010823616306,0.015706806282722512,191,0.2,-0.21618155114907145,-0.17422840173447895,5,5,kept_h,26,ridge_200.0,200
0.04661378463879007,6.551077380187128,191,0.0005531611289165875,0.3895348606775379,0.10227060843268543,0.3319732700901581,-0.22970266165747266,-1.4359803959202493,0.4770169342721713,-0.2507570111103634,0.18959285414789476,0.04581151832460733,191,0.0,-0.28427824505961485,-0.14772578289823612,5,5,kept_h,26,ridge_200.0,500
0.047526603139705324,6.8010877997106896,191,0.0008172766184824377,0.5913657064913634,0.1355930333382407,0.3319732700901581,-0.1963802367519174,-1.2794179859267327,0.6496524426191714,-0.2372962574748274,0.19725370892282462,0.0824607329842932,191,0.0,-0.29847313279586574,-0.04938464837823864,5,5,kept_h,26,ridge_200.0,750
0.03765362889632075,3.603960902203845,191,0.00032671696582019173,0.3733115489504678,0.09433992311024642,0.3319732700901581,-0.23763334697991167,-1.656993964109805,0.5557434262892127,-0.23699764177240723,0.1049568511815287,0.012434554973821989,191,0.2,-0.25866160827361395,-0.16107822337944477,5,5,kept_h,26,lasso_0.0005,100
0.04385111619896001,5.191540825702944,191,0.00129081343217748,1.2371032331036187,0.15358976470011343,0.3319732700901581,-0.17838350539004466,-1.3483231128980535,0.7810117010520752,-0.1957611522582633,0.13184917680024927,0.01963350785340314,191,0.2,-0.22380749533712074,-0.15945384989677513,5,5,kept_h,26,lasso_0.0005,200
0.04852189651852028,6.595114328306138,191,0.0007889976137420114,0.5925486798607843,0.11435475940516704,0.3319732700901581,-0.21761851068499105,-1.4707364387700999,0.5714099964680105,-0.24295397985633815,0.17598257567713355,0.05301047120418848,191,0.0,-0.2511268976893536,-0.1641551966503697,5,5,kept_h,26,lasso_0.0005,500
0.049732352314573125,6.85904257629324,191,0.0010063488484989287,0.7828602621984038,0.13250206360567063,0.3319732700901581,-0.19947120648448746,-1.3858877901919038,0.6662423341189754,-0.2424302526509743,0.18147413455532066,0.08835078534031414,191,0.0,-0.2570156769562475,-0.11552694928310403,5,5,kept_h,26,lasso_0.0005,750
0.033033913739796174,3.02979134642681,191,0.0015007808197445738,1.5791971461750096,0.1626093112742193,0.3319732700901581,-0.1693639588159388,-1.1552059183549355,0.8955707827022487,-0.21284107303394484,0.07374771191395345,0.018979057591623036,191,0.0,-0.21419264631490142,-0.03618895240586706,5,5,kept_h,26,pcr_8,100
0.038935397970791936,4.401017801148329,191,0.0004297803967937593,0.34957282746263646,0.15663378870194888,0.3319732700901581,-0.1753394813882092,-0.8630395534806878,1.098464458458691,-0.20572426174682978,0.09777081689879734,0.0274869109947644,191,0.2,-0.1321806812253492,-0.09736106615877793,5,5,kept_h,26,pcr_8,200
0.04672485754775375,6.0725701027830885,191,5.724976395125165e-07,0.0004907198500999676,0.15879248995034145,0.3319732700901581,-0.17318078013981664,-1.1783071156445448,0.960346853482736,-0.2062752600826051,0.1457992634153766,0.06348167539267016,191,0.0,-0.2353419375236464,-0.05730399412305931,5,5,kept_h,26,pcr_8,500
0.048370738018701585,6.366934486848745,191,0.00034647039198731097,0.28020193732542714,0.14493091860693563,0.3319732700901581,-0.18704235148322246,-1.2738608687068658,0.8981644700373281,-0.2227407023067347,0.15209530429378695,0.09947643979057591,191,0.0,-0.2545885879260995,-0.04928670011695435,5,5,kept_h,26,pcr_8,750
0.0284355342316446,3.299546626244949,191,-0.0003592980335617721,-0.39025258401746593,0.0941046490070967,0.3319732700901581,-0.2378686210830614,-1.7743712249626664,0.5221274909778066,-0.20319482967142488,0.13157934165533094,0.007853403141361256,191,0.0,-0.2042009049468937,-0.18481369560627048,5,5,kept_h,26,xgb_3_300_0.05_0.8,100
0.03239925526391719,4.56745534942369,191,0.0010752532660415035,1.0226897695545534,0.16340222105508295,0.3319732700901581,-0.16857104903507514,-1.2411356360817851,0.7493244932268086,-0.1922784922252866,0.17682199892662073,0.007853403141361256,191,0.0,-0.21504202451528298,-0.08779824555953875,5,5,kept_h,26,xgb_3_300_0.05_0.8,200
0.042883538965964654,7.264501671064951,191,0.000509977815502094,0.38079488893765073,0.02727737821143772,0.3319732700901581,-0.30469589187872037,-2.1390671511802823,0.09877796144187785,-0.34458964989449514,0.23561210411676536,0.07133507853403141,191,0.0,-0.2815325713491289,-0.21862568409386818,5,5,kept_h,26,xgb_3_300_0.05_0.8,500
0.04559260055865831,7.8376832948618524,191,0.0004757901041705103,0.3540667707346301,0.028925690151649253,0.3319732700901581,-0.30304757993850884,-2.0822353581330395,0.10447515015477503,-0.3542507741592774,0.24439624591354667,0.09882198952879581,191,0.0,-0.28269628349063525,-0.20193552442318152,5,5,kept_h,26,xgb_3_300_0.05_0.8,750
0.020113521949853705,2.3586689810820674,191,0.00044851433071283457,0.4220451086732858,0.07485534398960958,0.3319732700901581,-0.2571179261005485,-1.783125033626324,0.41080882882749953,-0.2332513237732201,0.14557259454140092,0.012434554973821989,191,0.0,-0.22354222502888377,-0.15890454168818113,5,5,kept_h,26,xgb_4_400_0.05_0.8,100
0.025654303105542276,3.9244996699963526,191,-2.597082779299058e-05,-0.023014560217595716,0.06199485389773596,0.3319732700901581,-0.26997841619242213,-2.036222054579079,0.2629685225191336,-0.25402194009112655,0.18585989676126985,0.0137434554973822,191,0.2,-0.25952959979433887,-0.2272685216481397,5,5,kept_h,26,xgb_4_400_0.05_0.8,200
0.03802656481294898,7.4580628214710485,191,-0.00035685074761880473,-0.2787462912701564,0.024472380162862573,0.3319732700901581,-0.3075008899272955,-2.221503279156574,0.10004087605172624,-0.2617121130909955,0.2578932964616893,0.07722513089005235,191,0.0,-0.3241564562627929,-0.24004322578292348,5,5,kept_h,26,xgb_4_400_0.05_0.8,500
0.039689173260685634,7.881860047611604,191,0.0002568121268097019,0.18272470810325336,0.017806850301450128,0.3319732700901581,-0.31416641978870796,-2.0808894480660807,0.07007683763155144,-0.2522664414711854,0.26630312211490703,0.11321989528795812,191,0.0,-0.34079478300132493,-0.23182716864186692,5,5,kept_h,26,xgb_4_400_0.05_0.8,750
0.026889832929231524,2.9738166586046657,191,-0.0007272488458925634,-0.8163858825463527,0.022839205643776284,0.3319732700901581,-0.3091340644463818,-2.2825122461458633,0.1684546561222765,-0.2718010906042816,0.13152546224124884,0.007853403141361256,191,0.0,-0.2765728723055859,-0.20338827903112,5,5,kept_h,26,xgb_2_500_0.05_0.9,100
0.032387427325350264,4.614287035691518,191,-0.0008233965195335096,-0.8320196162898609,0.059429072906357794,0.3319732700901581,-0.2725441971838003,-2.27377810209729,0.26484216489012724,-0.2941116490832463,0.1715041642696766,0.010471204188481676,191,0.2,-0.2660119741745913,-0.18323114007486263,5,5,kept_h,26,xgb_2_500_0.05_0.9,200
0.044136517465498064,7.285142340928464,191,0.0001340333898966225,0.09853238682761475,0.022713893465144075,0.3319732700901581,-0.309259376625014,-2.1850884487506033,0.06036469143993071,-0.23788971386012125,0.23807028591648813,0.05235602094240838,191,0.2,-0.32987903025253673,-0.28111882312017744,5,5,kept_h,26,xgb_2_500_0.05_0.9,500
0.04623482683212214,7.741905710177658,191,0.0004130828039506109,0.2951393645035671,0.00017066635051810053,0.3319732700901581,-0.33180260373964,-2.4149265246228104,-0.061208086350349626,-0.2880631387053971,0.24109692969521818,0.08376963350785341,191,0.2,-0.33346535999974747,-0.30514064206765346,5,5,kept_h,26,xgb_2_500_0.05_0.9,750
