factor,h,ic,t,null_t95,keep,n_dates,n_null
beta_down,5,-0.005395389392207036,-0.5986014754432042,2.801893385873298,False,260,394
idio_vol_126,5,-0.028689970116516802,-2.923736105168608,3.7945342514580807,False,239,373
idio_skew_126,5,-0.012892761663076688,-2.7404213732015874,4.292685837679508,False,239,373
ret_skew_126,5,-0.010496057687979536,-2.502312242175366,3.9196481146256192,False,293,426
ret_kurt_126,5,-0.018742049244714336,-5.220911182275767,2.491605115777365,True,293,426
resid_mom_252_21,5,0.0068679438148251445,1.306801373075614,2.2172919902457453,False,221,355
resid_mom_126_21,5,-0.002273035601369934,-0.4553648679642096,2.146540873374159,False,239,373
resid_rev_21,5,-0.021895702663122997,-4.182447655443536,1.963355526613792,True,239,373
downside_vol_60,5,-0.029687978711268805,-3.62890242880861,3.173143842679323,True,293,426
max_dd_120,5,0.03401864877660296,3.6538932986469455,3.272169300007702,True,293,426
ulcer_120,5,-0.03481473192412409,-3.9822478939659294,3.158037223535954,True,293,426
max_dd_252,5,0.03509325088239493,3.666585561779335,6.000733204695646,False,293,426
ulcer_252,5,-0.03389429609511722,-3.69858436253748,5.899211001291335,False,293,426
parkinson_60,5,-0.030262983258529632,-3.336382315542279,3.799144552356429,False,293,426
garman_klass_60,5,-0.02931247262054552,-3.2855529574411344,3.834689996820206,False,293,426
atr_pct_14,5,-0.026412848147283532,-2.980009349731751,3.721459698273779,False,293,426
log_adtv_60,5,0.00013978499062235986,0.025571992448868968,3.5918231169901693,False,293,426
turnover_trend,5,0.0006928539328151343,0.13861431660082346,1.9109351849018548,False,293,426
amihud_60,5,-0.011044261186011019,-1.7604314418818745,4.552548396784639,False,293,426
amihud_trend,5,-0.002309608584689499,-0.464048613719391,2.7147939367707257,False,293,426
zero_ret_60,5,0.006248834289473576,1.5923899567713322,2.566250417007813,False,293,426
avg_trade_size,5,0.013447404839754635,2.0463378956406055,4.143348087432481,False,293,426
volume_shock_5,5,-0.00032079375352488934,-0.06839904517665196,1.8907786473692076,False,293,426
vol_of_turnover,5,-0.01726894532926905,-3.3569874533091,4.820961273393808,False,293,426
cs_spread_60,5,-0.014761717383348253,-2.1064546743848855,3.5205794250644242,False,293,426
deliv_pct_60,5,0.01939905122122234,2.526275539010522,2.3477191104259134,True,244,378
deliv_trend,5,0.01612066017238053,3.411599632974886,2.2187241145163186,True,235,369
deliv_z_21,5,0.025333826057150344,4.978522118010017,2.227605975115376,True,222,356
deliv_chg_5,5,0.024921398516030435,6.36646641146937,2.024064126989687,True,244,378
deliv_x_turnover,5,0.019038549231568842,2.4001952764763614,2.823421653620455,False,244,378
deliv_value_trend,5,-0.0006999902626303692,-0.125925431125858,2.026849749147845,False,235,369
dist_50dma,5,-0.016190110235830762,-2.4820058437881665,1.8187250948943579,True,293,426
dist_200dma,5,0.009988371896089613,1.2435470304571594,2.425752544638672,False,293,426
ma_50_200,5,0.01979932579965046,2.5254744702380227,2.5299199130092895,False,293,426
price_vs_vwap_20,5,-0.023975812505798683,-3.937601110064722,1.8523999648391614,True,293,426
rsi_14,5,-0.018334642343518236,-3.618889556352231,1.8974654282615409,True,293,426
trend_r2_120,5,0.00612862694706139,1.2293011902329207,2.112345617192804,False,293,426
trend_slope_120,5,0.014777142482434872,2.025001388314597,2.141462877577858,False,293,426
seasonal_same_month,5,-0.002577755384233409,-0.4413581738089992,5.398472694530213,False,293,426
mom_1_0,10,-0.013457358601232556,-2.2910255202482475,2.3181737324688743,False,293,426
mom_2_0,10,-0.005327898852489405,-0.8339390367553288,2.5101211491224316,False,293,426
mom_3_1,10,0.01482990145019294,2.332844151973515,2.6866355670484667,False,293,426
mom_6_1,10,0.020728188096351557,2.820334553935318,3.347537904673567,False,293,426
mom_12_1,10,0.029794025723401143,3.476439965201761,4.389585592349481,False,293,426
mom_12_6,10,0.026351798197601285,3.808658570438341,3.556697729725712,True,293,426
mom_9_1,10,0.02946993201093561,3.614256332614589,4.1448630919630265,False,293,426
mom_accel,10,-0.01767994476189741,-2.908593573763588,3.0735512009071297,False,293,426
vol_20,10,-0.02761763772941876,-3.6728761085459944,3.964833445297122,False,293,426
vol_60,10,-0.03219676426742574,-3.604153247675192,3.928260024627784,False,293,426
vol_252,10,-0.034694688021160915,-3.517982117333041,3.769166475921401,False,293,426
vol_ratio_20_120,10,-0.0017235846491197519,-0.4167809313968195,2.6843972699026906,False,293,426
voladj_mom_6_1,10,0.024974847052834766,3.611897304713731,2.71872378569902,True,293,426
voladj_mom_12_1,10,0.03141869164308405,3.8804581213505376,3.6900795247821137,True,293,426
mom_consist_126,10,0.029879638209646172,5.028644448061827,3.4311059167528777,True,293,426
fip_6,10,0.0019457630693243014,0.43046617629711664,3.6273017722581375,False,293,426
intraday_mom_126,10,0.025793365533885268,3.915708166977118,2.4374192104624095,True,293,426
overnight_mom_126,10,-0.010151184445309812,-1.8785019062703163,4.953007273386831,False,293,426
intraday_mom_21,10,-0.01000353399596129,-1.7665311423230132,2.509488751356037,False,293,426
overnight_mom_21,10,-0.007816847663381022,-1.7628721156961258,3.9843905203100993,False,293,426
prox_52w,10,0.03555522542068054,3.9609864439161124,2.719472912202202,True,293,426
prox_52w_now,10,0.02696767059914725,2.9434177663977623,2.4950171849227294,True,293,426
dist_low_52w,10,0.0052175295364416206,0.7938520693159903,4.035481899321642,False,293,426
rev_1w,10,-0.02288746870437445,-4.029475054154323,1.799685781194392,True,293,426
rev_2w,10,-0.01724465598022249,-3.010326778485554,2.173214733493988,True,293,426
rev_1m_scaled,10,-0.01290011112507898,-2.415618861317422,2.3254347243859774,True,293,426
max5_21,10,-0.028411227306448586,-4.486670797192666,3.969062793259939,True,293,426
min5_21,10,0.020115570913943243,2.3468783521321237,3.7382031685725647,False,293,426
beta_126,10,0.0015312384721993966,0.18545348326052305,3.321821636605046,False,257,391
beta_252,10,0.0077218444910565585,0.8899505070532142,2.9357027073004276,False,221,355
beta_down,10,-0.0017213385315625867,-0.19166357959181993,3.314490188457741,False,260,394
idio_vol_126,10,-0.02493677882152364,-2.606425874354598,4.1012884300139865,False,239,373
idio_skew_126,10,-0.010529244533660203,-2.300343957712068,5.216260981124499,False,239,373
ret_skew_126,10,-0.007697032045467391,-1.916960627549868,4.592823719302554,False,293,426
ret_kurt_126,10,-0.02291874494467274,-6.644823427115904,3.3720219676428065,True,293,426
resid_mom_252_21,10,0.011464783828005422,2.3497256109014115,3.3751927021077877,False,221,355
resid_mom_126_21,10,-0.003832775081760058,-0.7451098862152401,3.037811915658018,False,239,373
resid_rev_21,10,-0.01732620522341271,-3.375500784364852,2.509895793432845,True,239,373
downside_vol_60,10,-0.029632445378419026,-3.7849807746124897,3.7234336471296867,True,293,426
max_dd_120,10,0.03654583765815244,3.776163166519198,3.4644384528182472,True,293,426
ulcer_120,10,-0.03898521350536311,-4.22143412903818,3.248282810402406,True,293,426
max_dd_252,10,0.037080166259990485,3.7828424816875517,6.754233142558441,False,293,426
ulcer_252,10,-0.036759524378852104,-3.8747964817627847,6.660245847862384,False,293,426
parkinson_60,10,-0.02658934436923611,-2.9541558133097645,4.042145823837935,False,293,426
garman_klass_60,10,-0.025352672297256403,-2.861089641747566,4.05071411133795,False,293,426
atr_pct_14,10,-0.02219903592375896,-2.61406256544875,3.977989024415341,False,293,426
log_adtv_60,10,-0.007042068887979028,-1.3102520226086602,4.366010151663996,False,293,426
turnover_trend,10,0.0022296870978938616,0.47248358916481825,2.319549415717537,False,293,426
amihud_60,10,-0.003348429022858949,-0.5378591311383161,5.424857502303414,False,293,426
amihud_trend,10,-0.005463047460203159,-1.131034334612741,3.360037624375511,False,293,426
zero_ret_60,10,0.009858254902514643,2.4896232144769455,3.758367790505315,False,293,426
avg_trade_size,10,0.008601040936562172,1.3109998387045019,4.893513003246587,False,293,426
volume_shock_5,10,0.0002532947632420172,0.0550659937238436,2.5187989007725298,False,293,426
vol_of_turnover,10,-0.013996975502697583,-2.8122529478386515,5.798561339765114,False,293,426
cs_spread_60,10,-0.009452474748271223,-1.3407129183740365,3.8828625241464105,False,293,426
deliv_pct_60,10,0.021078268733375496,2.899599621389197,2.6525633996243854,True,244,378
deliv_trend,10,0.015109142200739788,3.354584584208014,3.003233041180034,True,235,369
deliv_z_21,10,0.02750342013972925,5.839043339318072,2.9055064131686987,True,222,356
deliv_chg_5,10,0.023519067356213022,6.257538482537167,2.455108595805502,True,244,378
deliv_x_turnover,10,0.019077535711395133,2.505296740449514,3.2433543049047593,False,244,378
deliv_value_trend,10,0.00014994115347268658,0.02951335092686891,2.656418263084841,False,235,369
dist_50dma,10,-0.012080007173601939,-1.9037577503573222,2.4071386580440213,False,293,426
dist_200dma,10,0.01824607729079008,2.263066782160805,3.5478163994549723,False,293,426
ma_50_200,10,0.02701715455886296,3.3682963614570465,3.838854344717218,False,293,426
price_vs_vwap_20,10,-0.019017438825018607,-3.15219462508478,2.1480326940732146,True,293,426
rsi_14,10,-0.013707146718195172,-2.6917498283704715,2.3056197299293157,True,293,426
trend_r2_120,10,0.010814010272202305,2.1436568080983,3.0554770884838875,False,293,426
trend_slope_120,10,0.021392964246125804,2.9485228381787008,3.325843605384075,False,293,426
seasonal_same_month,10,-0.006100112620489318,-0.9905754415826133,6.1644428279488075,False,293,426
mom_1_0,21,-0.011342187775258786,-1.9498096150880848,3.0006440518248394,False,293,426
mom_2_0,21,0.006743925028154129,1.0390329264333742,3.101140075602564,False,293,426
mom_3_1,21,0.019824999500181493,3.1212970171006753,3.306753660178963,False,293,426
mom_6_1,21,0.027980683021900744,3.666857648869079,4.096148695206389,False,293,426
mom_12_1,21,0.04108053044563846,4.5233525232305345,5.282580884313153,False,293,426
mom_12_6,21,0.034672680639676656,4.6387313818469105,4.6607726616006815,False,293,426
mom_9_1,21,0.04119857514067322,4.791175479808334,5.224618939185706,False,293,426
mom_accel,21,-0.024184377014645948,-3.7461575718048796,4.1428190393485025,False,293,426
vol_20,21,-0.020295640451749256,-2.7923633127681824,4.692912812471829,False,293,426
vol_60,21,-0.02940459864061376,-3.29373730815838,4.88132797224703,False,293,426
vol_252,21,-0.03259114498912572,-3.2767725007723554,4.34947809284894,False,293,426
vol_ratio_20_120,21,0.004169508911973405,1.0694400643370903,3.509155077772558,False,293,426
voladj_mom_6_1,21,0.03114318200323361,4.338837823323571,3.5512055938413383,True,293,426
voladj_mom_12_1,21,0.04183330315737314,4.827615479762138,4.804106279399179,True,293,426
mom_consist_126,21,0.03303857636211028,5.352775481531212,4.296267779805829,True,293,426
fip_6,21,0.0027709446431488675,0.6216879003372087,4.880215287759249,False,293,426
intraday_mom_126,21,0.03367563921659389,4.914046426545185,3.4321217164068782,True,293,426
overnight_mom_126,21,-0.009721481035208921,-1.8546583536523193,5.998397631935627,False,293,426
intraday_mom_21,21,-0.009706833781562297,-1.673418286957828,2.885694424715718,False,293,426
overnight_mom_21,21,-0.0036102782584038016,-0.7679747516541826,4.81449109119399,False,293,426
prox_52w,21,0.045332128252323245,4.85345929464757,3.0964348999751303,True,293,426
prox_52w_now,21,0.03726336027938175,3.910916011785131,3.050665210947932,True,293,426
dist_low_52w,21,0.01779338170284304,2.692247316815992,4.747882468039811,False,293,426
rev_1w,21,-0.013507180391130929,-2.6399992269825403,1.9089989131604395,True,293,426
rev_2w,21,-0.010195381719600546,-1.8831149138848613,2.3634126694331945,False,293,426
rev_1m_scaled,21,-0.009371686313680959,-1.7979755141936515,3.205157769061488,False,293,426
max5_21,21,-0.021898442085511182,-3.62618862247661,4.656777882104487,False,293,426
min5_21,21,0.015461297299856548,1.823436480943463,4.513296490684063,False,293,426
