slots,entry,exit,rebal,cap,univ,ann,bench,excess,ir,sharpe,maxdd,cost,hold,mhold,ntr,cash,yr_pos,yr_min,y2020,y2021,y2022,y2023,y2024
8,12,24,1,3,500,0.5000656919967779,0.29716493118767007,0.2029007608091078,1.0075440646562523,1.6009569741426006,-0.4206967121645646,0.055890787749724107,25.0,33.57142857142857,280,0.0,0.8,-0.08561539996947443,0.12133584332692582,0.4730586999328332,0.07122320131930326,0.24691147146799874,-0.08561539996947443
8,12,24,1,3,750,0.5384392297215823,0.29716493118767007,0.24127429853391225,1.1271099301919874,1.6660821489119646,-0.4206967121645646,0.05957285506172075,20.0,31.51006711409396,298,0.0010638297872340426,1.0,0.10376311962471685,0.12133584332692582,0.35777206740800005,0.1516505301608384,0.17533500010659542,0.10376311962471685
8,12,24,2,2,500,0.41077009856131874,0.29716493118767007,0.11360516737364867,0.5713809138732393,1.420329840517926,-0.37434506851894656,0.046288739923339886,30.0,38.92116182572614,241,0.002127659574468085,0.6,-0.061360728420463584,0.04703535587951646,0.40608662527267025,-0.05556593464738313,0.13199284292328461,-0.061360728420463584
8,12,24,2,2,750,0.4988764154892882,0.29716493118767007,0.20171148430161812,0.9189569112020896,1.638892385754596,-0.37434506851894656,0.046303330788891366,30.0,38.71900826446281,242,0.0031914893617021275,1.0,0.0407230207211049,0.04703535587951646,0.3997851510748003,0.0407230207211049,0.21665970934722822,0.05839997981793332
8,12,24,2,3,500,0.4348643566502157,0.29716493118767007,0.13769942546254565,0.6712473394311539,1.4829442019244305,-0.37434506851894656,0.04610445329943306,30.0,40.34334763948498,233,0.0,0.6,-0.10250426680168234,0.060657605944996806,0.5205587424238081,-0.10250426680168234,0.22411760123772329,-0.09659588758097626
8,12,24,2,3,750,0.5119118750740801,0.29716493118767007,0.21474694388641002,0.9732293784966415,1.6658925603708443,-0.37434506851894656,0.0468776440195408,30.0,39.57805907172996,237,0.002127659574468085,0.8,-0.002315483862810108,0.060657605944996806,0.5324312201213293,0.0329727019303665,0.22367552007084468,-0.002315483862810108
8,16,18,1,2,500,0.5045410046240202,0.29716493118767007,0.20737607343635012,0.996899934471027,1.621529049754666,-0.4054453896823781,0.07051822563233094,15.0,25.61307901907357,367,0.0,0.6,-0.040361339267047214,0.28352896604079136,0.4010798740826569,-0.040361339267047214,0.21609391401592437,-0.03244611788371243
8,16,18,1,2,750,0.497819604297594,0.29716493118767007,0.2006546731099239,0.9561494795318747,1.5879143105623525,-0.4054453896823781,0.07833623924742762,15.0,23.618090452261306,398,0.0,0.8,-0.01284977564266132,0.28352896604079136,0.3023790987980628,-0.01284977564266132,0.15075271548169922,0.04932122102091374
8,16,18,1,3,500,0.4719565171304825,0.29716493118767007,0.1747915859428124,0.8540465942266098,1.5303085478428702,-0.4262823291852841,0.07127401065151592,15.0,26.18384401114206,359,0.0,0.8,-0.08098011323845433,0.11680284068924052,0.4051226140880819,0.012161660236169825,0.2574004826474279,-0.08098011323845433
8,16,18,1,3,750,0.46545153940487616,0.29716493118767007,0.1682866082172061,0.8179066880608054,1.5001255908581488,-0.4262823291852841,0.07567491175952724,15.0,25.13368983957219,374,0.0,0.6,-0.016586257707461693,0.11680284068924052,0.391834884562517,-0.0048527038811818635,0.18449153074103486,-0.016586257707461693
8,16,18,2,2,500,0.34311775448394166,0.29716493118767007,0.045952823296271594,0.2917897041386236,1.2406174923620013,-0.36981583744391144,0.05487959425431128,30.0,32.638888888888886,288,0.0,0.6,-0.15993659047453868,0.0665198470758781,0.27193233420410534,-0.15993659047453868,0.1347002828855437,-0.0906999154278989
8,16,18,2,2,750,0.36059052071146147,0.29716493118767007,0.0634255895237914,0.3753565999223399,1.2825127080032823,-0.36981583744391144,0.05851369241675682,20.0,30.92105263157895,304,0.0,0.6,-0.13925325564553814,0.0665198470758781,0.23262731003350567,-0.09599281191048903,0.22525586934278818,-0.13925325564553814
8,16,18,2,3,500,0.41376654444221383,0.29716493118767007,0.11660161325454377,0.5914636797389501,1.4229808807151636,-0.36981583744391144,0.056841929338047326,30.0,32.86713286713287,286,0.0,0.6,-0.10950325670541583,0.03645039602644484,0.39603942273131887,-0.05765062289482459,0.23259284591937845,-0.10950325670541583
8,16,18,2,3,750,0.4367658717741416,0.29716493118767007,0.13960094058647154,0.7071439304219092,1.4811872316189452,-0.36981583744391144,0.05833135449377434,20.0,32.081911262798634,293,0.0,0.6,-0.05531961499021876,0.03645039602644484,0.3599300786358237,-0.033663576253534,0.2599815317443177,-0.05531961499021876
8,16,20,1,2,500,0.5026185620355672,0.29716493118767007,0.20545363084789714,0.97878050059813,1.6063709636987413,-0.4054453896823781,0.06585588846695929,20.0,27.565982404692082,341,0.0,0.8,-0.037642534636571634,0.22029032531122228,0.3463992194371368,0.0020797648433861227,0.27559800696367254,-0.037642534636571634
8,16,20,1,2,750,0.5005707177503027,0.29716493118767007,0.20340578656263264,0.9629113799103942,1.5926502758386831,-0.4054453896823781,0.06986021539034788,15.0,26.18384401114206,359,0.0,1.0,0.0022752316456409183,0.22029032531122228,0.29446791341485756,0.0022752316456409183,0.2424929721510518,0.02165918013100221
8,16,20,1,3,500,0.4657216522243577,0.29716493118767007,0.16855672103668762,0.8248919270985605,1.503148654470873,-0.4262823291852841,0.06630488055776411,20.0,28.3987915407855,331,0.0,0.8,-0.0910551549866413,0.09060702948038335,0.4531559928498934,0.008950371398280144,0.2405449117924332,-0.0910551549866413
8,16,20,1,3,750,0.4853255783720538,0.29716493118767007,0.18816064718438374,0.9043921831844695,1.549937319544199,-0.4262823291852841,0.07090104957812897,20.0,26.93409742120344,349,0.0,0.8,-0.010123366054426985,0.09060702948038335,0.4072012984209312,-0.010123366054426985,0.2216527864342812,0.034555594223950825
8,16,20,2,2,500,0.3665081070625491,0.29716493118767007,0.06934317587487904,0.3962209074719838,1.3013649901963191,-0.3636748873829835,0.05039377463952327,30.0,35.471698113207545,265,0.0,0.6,-0.0917543567091883,0.08173054267492685,0.2565549715799964,-0.08472701308960973,0.13030958513803337,-0.0917543567091883
8,16,20,2,2,750,0.39540542161339176,0.29716493118767007,0.0982404904257217,0.5157881517834451,1.3854884161793475,-0.3636748873829835,0.05197973382159439,30.0,34.55882352941177,272,0.0,0.6,-0.1493364292242948,0.08173054267492685,0.3170319616370847,-0.012611029159086296,0.1742613655791223,-0.1493364292242948
8,16,20,2,3,500,0.4008034830219267,0.29716493118767007,0.10363855183425663,0.5502838191617037,1.394755377040795,-0.3636748873829835,0.051872568861495806,30.0,35.741444866920155,263,0.0,0.6,-0.11772310649484896,0.0374193276009398,0.3816778099727538,-0.11772310649484896,0.25606525468230923,-0.09547572682581151
8,16,20,2,3,750,0.43078375640165323,0.29716493118767007,0.13361882521398316,0.6831302572963487,1.4735541579690574,-0.3636748873829835,0.05295936535867588,30.0,35.2059925093633,267,0.0,0.6,-0.10966970892041128,0.0374193276009398,0.441668124797566,-0.10966970892041128,0.23773045771317713,-0.03609579985546574
8,16,24,1,2,500,0.4532954716389612,0.29716493118767007,0.15613054045129116,0.8309627464409401,1.499580456413652,-0.4206967121645646,0.056086444801064,20.0,31.864406779661017,295,0.0,0.8,-0.02790161196444052,0.07515348285452439,0.32941363583561767,0.0028158952376462487,0.24746848178891434,-0.02790161196444052
8,16,24,1,2,750,0.5061516394890326,0.29716493118767007,0.20898670830136257,1.0471237146994796,1.616228902864373,-0.4206967121645646,0.05880631587653081,20.0,30.51948051948052,308,0.0,1.0,0.03849456105344373,0.07515348285452439,0.3505568271766737,0.1163717814686076,0.22291313696391457,0.03849456105344373
8,16,24,1,3,500,0.5000656919967779,0.29716493118767007,0.2029007608091078,1.0075440646562523,1.6009569741426006,-0.4206967121645646,0.055890787749724107,25.0,33.57142857142857,280,0.0,0.8,-0.08561539996947443,0.12133584332692582,0.4730586999328332,0.07122320131930326,0.24691147146799874,-0.08561539996947443
8,16,24,1,3,750,0.5391509808155235,0.29716493118767007,0.24198604962785342,1.130209920230367,1.6670223859595354,-0.4206967121645646,0.05957327772080128,20.0,31.543624161073826,298,0.0,1.0,0.10901864534659844,0.12133584332692582,0.35777206740800005,0.1516505301608384,0.17252942674258054,0.10901864534659844
8,16,24,2,2,500,0.41932501038939796,0.29716493118767007,0.12216007920172789,0.6054187226142845,1.4421081883699844,-0.37434506851894656,0.046288663049195745,30.0,39.004149377593365,241,0.0,0.6,-0.06136072842046225,0.04703535587951646,0.40608662527267025,-0.05556593464738313,0.16445615378029443,-0.06136072842046225
