slots,entry,exit,rebal,cap,univ,wt,ann,bench,excess,ir,sharpe,maxdd,cost,hold,mhold,ntr,yr_pos,y2020,y2021,y2022,y2023,y2024
8,12,24,1,2,500,equal,0.45505415479467404,0.29716493118767007,0.15788922360700397,0.837901057639914,1.5048959564712896,-0.4206967121645646,0.05592627508918714,20.0,31.83050847457627,295,0.8,0.07515348285452439,0.32941363583561767,0.008890614318743939,0.24660407507354032,-0.02790161196444052
8,12,24,1,2,750,equal,0.505231140749965,0.29716493118767007,0.20806620956229493,1.043037951543077,1.6147272394809642,-0.4206967121645646,0.05880573656442959,20.0,30.47077922077922,308,1.0,0.07515348285452439,0.3505568271766737,0.1163717814686076,0.22497936116624961,0.03359107486277635
8,12,24,1,3,500,equal,0.5000656919967779,0.29716493118767007,0.2029007608091078,1.0075440646562523,1.6009569741426006,-0.4206967121645646,0.055890787749724107,25.0,33.57142857142857,280,0.8,0.12133584332692582,0.4730586999328332,0.07122320131930326,0.24691147146799874,-0.08561539996947443
8,12,24,1,3,750,equal,0.5384392297215823,0.29716493118767007,0.24127429853391225,1.1271099301919874,1.6660821489119646,-0.4206967121645646,0.05957285506172075,20.0,31.51006711409396,298,1.0,0.12133584332692582,0.35777206740800005,0.1516505301608384,0.17533500010659542,0.10376311962471685
8,12,24,2,2,500,equal,0.41077009856131874,0.29716493118767007,0.11360516737364867,0.5713809138732393,1.420329840517926,-0.37434506851894656,0.046288739923339886,30.0,38.92116182572614,241,0.6,0.04703535587951646,0.40608662527267025,-0.05556593464738313,0.13199284292328461,-0.061360728420463584
8,12,24,2,2,750,equal,0.4988764154892882,0.29716493118767007,0.20171148430161812,0.9189569112020896,1.638892385754596,-0.37434506851894656,0.046303330788891366,30.0,38.71900826446281,242,1.0,0.04703535587951646,0.3997851510748003,0.0407230207211049,0.21665970934722822,0.05839997981793332
8,12,24,2,3,500,equal,0.4348643566502157,0.29716493118767007,0.13769942546254565,0.6712473394311539,1.4829442019244305,-0.37434506851894656,0.04610445329943306,30.0,40.34334763948498,233,0.6,0.060657605944996806,0.5205587424238081,-0.10250426680168234,0.22411760123772329,-0.09659588758097626
8,12,24,2,3,750,equal,0.5119118750740801,0.29716493118767007,0.21474694388641002,0.9732293784966415,1.6658925603708443,-0.37434506851894656,0.0468776440195408,30.0,39.57805907172996,237,0.8,0.060657605944996806,0.5324312201213293,0.0329727019303665,0.22367552007084468,-0.002315483862810108
8,12,24,4,2,500,equal,0.5008216669436838,0.29716493118767007,0.20365673575601373,0.9170403254983353,1.6618928049089505,-0.3215976858012266,0.03463584395134617,40.0,52.111111111111114,180,0.8,0.28607994507447243,0.39297443664964793,-0.07102546654927311,0.1363730759621371,0.039940911460534245
8,12,24,4,2,750,equal,0.5325726034455647,0.29716493118767007,0.2354076722578946,1.0091601707279108,1.7028859371011051,-0.3215976858012266,0.034643608621970724,40.0,51.53846153846154,182,0.8,0.28607994507447243,0.39399147681729474,-0.053156145208838934,0.13661746022521415,0.1277350533788768
8,12,24,4,3,500,equal,0.4641999042549225,0.29716493118767007,0.16703497306725246,0.7769652962040998,1.5673933705972518,-0.3366236645306575,0.035785971357264454,40.0,52.80898876404494,178,0.8,0.2870449461199691,0.4207666667114751,-0.1636581282155407,0.13077975177404788,0.013242561424190447
8,12,24,4,3,750,equal,0.5522436547999452,0.29716493118767007,0.2550787236122751,1.090382152969094,1.7559981893075165,-0.3215976858012266,0.03637233318300149,40.0,51.64835164835165,182,0.8,0.2870449461199691,0.42181330188385324,-0.06595576176300755,0.12919166799972337,0.1969068431286216
